                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.2374,                0.71226,                 1.0746,                0.88946,                0.87447,                0.91936,                0.61986,                 1.1488,                0.63628,                 1.0579,               0.004456,               0.004456,               0.004456
                     59,                 1.2382,                0.72366,                 1.0659,                0.89021,                0.87241,                0.91993,                0.62104,                  1.147,                0.63229,                 1.0571,               0.004357,               0.004357,               0.004357
                     60,                 1.2333,                 0.7054,                   1.07,                 0.8919,                0.87391,                0.92096,                0.62243,                 1.1368,                0.63228,                 1.0526,               0.004258,               0.004258,               0.004258
                     61,                 1.2257,                0.70236,                 1.0685,                0.89547,                0.87168,                0.92106,                0.62232,                 1.1364,                0.62724,                 1.0537,               0.004159,               0.004159,               0.004159
                     62,                 1.2215,                0.72702,                 1.0685,                0.90052,                0.87183,                0.92309,                0.62494,                 1.1346,                0.62195,                 1.0536,                0.00406,                0.00406,                0.00406
                     63,                 1.2246,                0.70243,                 1.0667,                0.89185,                0.88151,                0.92317,                0.62622,                 1.1319,                0.62451,                 1.0537,               0.003961,               0.003961,               0.003961
                     64,                 1.2154,                0.69596,                  1.057,                0.90101,                0.87772,                0.92476,                0.62917,                 1.1229,                0.61338,                 1.0485,               0.003862,               0.003862,               0.003862
                     65,                 1.2145,                0.69649,                 1.0619,                0.89996,                0.88509,                0.92848,                0.63485,                 1.1167,                0.60324,                 1.0459,               0.003763,               0.003763,               0.003763
                     66,                 1.1993,                0.68549,                 1.0555,                0.89829,                0.88237,                 0.9279,                0.63429,                 1.1217,                0.60619,                 1.0472,               0.003664,               0.003664,               0.003664
                     67,                 1.2075,                0.68189,                 1.0549,                0.90279,                0.88355,                0.93033,                0.63577,                 1.1195,                0.60347,                 1.0469,               0.003565,               0.003565,               0.003565
                     68,                 1.1991,                0.67764,                 1.0506,                0.90367,                0.88668,                0.93124,                0.63639,                 1.1153,                0.59994,                 1.0441,               0.003466,               0.003466,               0.003466
                     69,                 1.1944,                0.67723,                  1.044,                0.90166,                0.88288,                 0.9284,                0.63703,                 1.1125,                0.59958,                 1.0447,               0.003367,               0.003367,               0.003367
                     70,                 1.1983,                0.67039,                 1.0543,                0.90545,                0.88748,                0.93075,                0.64064,                 1.1034,                0.59449,                 1.0413,               0.003268,               0.003268,               0.003268
