epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
118,15820.7,0.62251,0.53626,0.11652,0.86091,0.87686,0.89717,0.54529,0.44586,0.47551,0.1019,0.0042085,0.0042085,0.0042085
119,15947.7,0.64266,0.5333,0.11608,0.86006,0.87799,0.89725,0.54941,0.44201,0.47474,0.10101,0.004159,0.004159,0.004159
120,16085.6,0.65165,0.5305,0.11672,0.86011,0.87905,0.89823,0.55282,0.43843,0.47397,0.10053,0.0041095,0.0041095,0.0041095
121,16221.9,0.61593,0.52904,0.11567,0.85935,0.87919,0.89936,0.55603,0.43588,0.47444,0.10012,0.00406,0.00406,0.00406
122,16358.3,0.6995,0.52705,0.12174,0.86408,0.87721,0.90045,0.55896,0.43429,0.47389,0.09994,0.0040105,0.0040105,0.0040105
123,16495.1,0.7235,0.54129,0.1277,0.86487,0.87722,0.90095,0.55962,0.43411,0.4742,0.09993,0.003961,0.003961,0.003961
124,16628.5,0.61517,0.5321,0.10966,0.86634,0.8804,0.90132,0.56005,0.43452,0.47425,0.09994,0.0039115,0.0039115,0.0039115
125,16764.5,0.58682,0.53049,0.10826,0.86312,0.88379,0.90177,0.55975,0.43536,0.47446,0.1001,0.003862,0.003862,0.003862
126,16898.6,0.59496,0.53294,0.11127,0.86311,0.88257,0.90196,0.56105,0.43434,0.47456,0.09989,0.0038125,0.0038125,0.0038125
127,17037.3,0.67771,0.52477,0.11899,0.86431,0.88438,0.90315,0.56338,0.43139,0.47296,0.09949,0.003763,0.003763,0.003763
128,17174.6,0.68157,0.53313,0.12112,0.86996,0.88148,0.90451,0.56747,0.4272,0.47082,0.09862,0.0037135,0.0037135,0.0037135
129,17307.7,0.62577,0.53333,0.11291,0.87038,0.88093,0.90649,0.56897,0.42543,0.4696,0.09814,0.003664,0.003664,0.003664
130,17444.6,0.64007,0.52311,0.11644,0.87006,0.88486,0.90663,0.57114,0.42468,0.469,0.09798,0.0036145,0.0036145,0.0036145
131,17583.6,0.94897,0.50372,0.15465,0.87164,0.883,0.90687,0.57206,0.4238,0.46909,0.09761,0.003565,0.003565,0.003565
132,17721.2,0.66688,0.5338,0.11613,0.86984,0.88642,0.90666,0.57168,0.4242,0.46811,0.09759,0.0035155,0.0035155,0.0035155
133,17852.6,0.60117,0.52602,0.10805,0.87233,0.88455,0.90475,0.55822,0.44469,0.4722,0.09973,0.003466,0.003466,0.003466
134,17979.5,0.59387,0.52202,0.10733,0.86915,0.88412,0.90209,0.52725,0.48428,0.48286,0.1033,0.0034165,0.0034165,0.0034165
135,18112.1,0.6778,0.51802,0.11474,0.86227,0.87606,0.89385,0.48399,0.53667,0.49303,0.10787,0.003367,0.003367,0.003367
136,18247.7,0.7895,0.50217,0.12768,0.85364,0.86495,0.88156,0.44147,0.58458,0.50042,0.11154,0.0033175,0.0033175,0.0033175
137,18380.5,0.77634,0.50111,0.12621,0.84926,0.86041,0.87781,0.43547,0.59239,0.49859,0.11215,0.003268,0.003268,0.003268
138,18514.4,0.58576,0.51403,0.10394,0.84687,0.85503,0.87347,0.42452,0.60619,0.49895,0.11357,0.0032185,0.0032185,0.0032185
139,18642.4,0.64119,0.52017,0.11194,0.84663,0.85045,0.87044,0.41347,0.61894,0.50024,0.11474,0.003169,0.003169,0.003169
140,18775,0.67234,0.52311,0.11589,0.84312,0.84304,0.86431,0.40372,0.63247,0.50104,0.11618,0.0031195,0.0031195,0.0031195
141,18908.3,0.68706,0.52497,0.11964,0.84489,0.84436,0.86474,0.40496,0.63192,0.50085,0.11628,0.00307,0.00307,0.00307
142,19040.3,0.7262,0.51583,0.12212,0.84961,0.85279,0.87125,0.42231,0.61259,0.49792,0.11452,0.0030205,0.0030205,0.0030205
143,19174,0.62498,0.53147,0.11107,0.85155,0.85794,0.87461,0.42256,0.61142,0.49938,0.11435,0.002971,0.002971,0.002971
144,19302.1,0.57045,0.5222,0.10302,0.85429,0.8593,0.87695,0.42524,0.60816,0.49949,0.11401,0.0029215,0.0029215,0.0029215
145,19434.9,0.58875,0.52064,0.10473,0.85349,0.86158,0.87848,0.42877,0.60386,0.49933,0.11354,0.002872,0.002872,0.002872
146,19569.6,0.5646,0.52258,0.0992,0.85499,0.86113,0.88038,0.43284,0.59833,0.49967,0.11281,0.0028225,0.0028225,0.0028225
147,19702.1,0.68812,0.50462,0.11433,0.85478,0.86125,0.88087,0.43418,0.59671,0.49895,0.11245,0.002773,0.002773,0.002773
148,19836.1,0.6916,0.51892,0.11685,0.85773,0.86401,0.88379,0.44144,0.58789,0.49811,0.11148,0.0027235,0.0027235,0.0027235
149,19964.3,0.65419,0.50709,0.1093,0.85918,0.86297,0.88362,0.44304,0.58615,0.49696,0.11116,0.002674,0.002674,0.002674
150,20095.9,0.72008,0.52206,0.11973,0.86313,0.86813,0.88671,0.44512,0.58423,0.49676,0.11089,0.0026245,0.0026245,0.0026245
151,20229,0.70558,0.51027,0.11629,0.86766,0.86921,0.89047,0.4544,0.57397,0.49472,0.10991,0.002575,0.002575,0.002575
152,20360.2,0.83198,0.49067,0.12928,0.86731,0.87092,0.89136,0.46016,0.5665,0.49323,0.10921,0.0025255,0.0025255,0.0025255
153,20493.1,0.81933,0.48477,0.13444,0.86732,0.87266,0.89295,0.46647,0.55906,0.49168,0.10843,0.002476,0.002476,0.002476
154,20622.5,1.037,0.454,0.17382,0.86882,0.87866,0.89893,0.49548,0.52479,0.48393,0.10558,0.0024265,0.0024265,0.0024265
155,20752.3,0.8917,0.4714,0.13782,0.87135,0.88224,0.90277,0.51184,0.50491,0.47955,0.10379,0.002377,0.002377,0.002377
156,20884.4,0.83966,0.48686,0.13165,0.87507,0.88441,0.90649,0.52606,0.48713,0.47539,0.10224,0.0023275,0.0023275,0.0023275
157,21018.6,1.01201,0.45426,0.15873,0.87338,0.88708,0.90734,0.52917,0.4833,0.47378,0.10188,0.002278,0.002278,0.002278
158,21152.3,0.92309,0.47618,0.1417,0.87398,0.88784,0.90714,0.53264,0.4786,0.47263,0.10145,0.0022285,0.0022285,0.0022285
