epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,2136.26,1.33904,1.0148,1.09714,0.80678,0.78014,0.82454,0.47983,1.48084,0.85167,1.18012,0.0077032,0.0077032,0.0077032
60,2172.45,1.33216,1.01667,1.08854,0.8033,0.78849,0.83331,0.48655,1.47045,0.83547,1.17407,0.0076636,0.0076636,0.0076636
61,2208.55,1.30421,0.98268,1.07736,0.78597,0.80366,0.82805,0.48065,1.47693,0.85664,1.17632,0.007624,0.007624,0.007624
62,2244.88,1.32706,0.99561,1.08693,0.8069,0.78929,0.8322,0.48438,1.47134,0.83785,1.17198,0.0075844,0.0075844,0.0075844
63,2282.58,1.31658,1.00533,1.08718,0.7968,0.79563,0.82883,0.48305,1.46494,0.85556,1.17516,0.0075448,0.0075448,0.0075448
64,2322.35,1.29006,0.95974,1.07833,0.79756,0.79627,0.82972,0.48348,1.48418,0.86433,1.17867,0.0075052,0.0075052,0.0075052
65,2358.34,1.31559,0.98609,1.08633,0.79633,0.80856,0.84421,0.49428,1.46417,0.82299,1.16931,0.0074656,0.0074656,0.0074656
66,2394.33,1.29591,0.96426,1.08026,0.81062,0.78726,0.83597,0.49039,1.46775,0.83129,1.17695,0.007426,0.007426,0.007426
67,2430.18,1.28854,0.96596,1.06909,0.81159,0.79947,0.84284,0.49554,1.47157,0.81911,1.1762,0.0073864,0.0073864,0.0073864
68,2466.58,1.30587,0.98039,1.08061,0.80666,0.8,0.83738,0.48807,1.45967,0.82562,1.16646,0.0073468,0.0073468,0.0073468
69,2502.8,1.30766,0.98511,1.08039,0.78114,0.81588,0.83839,0.48952,1.47736,0.82209,1.17516,0.0073072,0.0073072,0.0073072
70,2539.16,1.28383,0.95139,1.06691,0.80081,0.79457,0.83633,0.48927,1.46691,0.83965,1.17489,0.0072676,0.0072676,0.0072676
71,2575.18,1.26577,0.93127,1.07165,0.78694,0.80767,0.83855,0.49096,1.47005,0.81224,1.17222,0.007228,0.007228,0.007228
72,2611.11,1.26687,0.95127,1.06868,0.81572,0.78602,0.83959,0.49279,1.45873,0.81522,1.17225,0.0071884,0.0071884,0.0071884
73,2647.28,1.28314,0.93796,1.07453,0.81336,0.79928,0.83895,0.49095,1.45639,0.83711,1.16903,0.0071488,0.0071488,0.0071488
74,2683.5,1.28714,0.96107,1.07086,0.80999,0.78876,0.83465,0.48866,1.4616,0.8497,1.17246,0.0071092,0.0071092,0.0071092
75,2719.64,1.27047,0.93838,1.0647,0.78875,0.80479,0.83674,0.49189,1.45439,0.83178,1.16938,0.0070696,0.0070696,0.0070696
76,2755.47,1.28699,0.94751,1.07293,0.80607,0.80656,0.841,0.49638,1.44729,0.81685,1.16959,0.00703,0.00703,0.00703
77,2791.71,1.28191,0.92415,1.07239,0.80799,0.79735,0.84205,0.49086,1.46461,0.81254,1.17647,0.0069904,0.0069904,0.0069904
78,2827.55,1.28765,0.95705,1.07357,0.81582,0.78772,0.83977,0.49512,1.45893,0.82878,1.17364,0.0069508,0.0069508,0.0069508
79,2863.26,1.27768,0.93464,1.067,0.79359,0.82444,0.84296,0.49312,1.47085,0.80619,1.1746,0.0069112,0.0069112,0.0069112
80,2901.21,1.24946,0.89859,1.05572,0.79365,0.8114,0.838,0.4912,1.46119,0.80926,1.17321,0.0068716,0.0068716,0.0068716
81,2937.3,1.27822,0.92747,1.06599,0.81023,0.80792,0.839,0.49672,1.45296,0.82328,1.17278,0.006832,0.006832,0.006832
82,2973.5,1.27363,0.92062,1.06826,0.80596,0.80339,0.83866,0.49756,1.4543,0.82196,1.17161,0.0067924,0.0067924,0.0067924
83,3009.59,1.26198,0.92375,1.06108,0.80367,0.80759,0.83979,0.49734,1.45164,0.8153,1.1688,0.0067528,0.0067528,0.0067528
84,3045.58,1.26342,0.90475,1.07219,0.79727,0.81655,0.84418,0.49882,1.4436,0.80658,1.16698,0.0067132,0.0067132,0.0067132
