epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
55,5703.48,0.85221,0.50302,0.13491,0.83559,0.84482,0.86024,0.48352,0.47909,0.52041,0.10895,0.007327,0.007327,0.007327
56,5808,0.80588,0.51002,0.13038,0.83453,0.85065,0.85316,0.43359,0.55298,0.49316,0.11548,0.0072775,0.0072775,0.0072775
57,5910.97,0.80258,0.50773,0.12918,0.83484,0.87056,0.86411,0.43859,0.55072,0.49577,0.11369,0.007228,0.007228,0.007228
58,6014.11,0.79915,0.50214,0.1281,0.83518,0.87036,0.86628,0.49014,0.48123,0.49643,0.10658,0.0071785,0.0071785,0.0071785
59,6118.68,0.80662,0.50247,0.13074,0.84156,0.8565,0.86431,0.4754,0.5067,0.49461,0.11119,0.007129,0.007129,0.007129
60,6222.85,0.87975,0.48687,0.13624,0.84215,0.8667,0.86857,0.45377,0.54645,0.48233,0.11102,0.0070795,0.0070795,0.0070795
61,6327.21,0.84415,0.50737,0.13528,0.83707,0.83816,0.86036,0.46854,0.50849,0.50612,0.10743,0.00703,0.00703,0.00703
62,6430.21,0.83037,0.50149,0.13293,0.82762,0.8425,0.85528,0.41969,0.56547,0.51867,0.11369,0.0069805,0.0069805,0.0069805
63,6535.04,0.7961,0.50062,0.12563,0.84217,0.86109,0.86602,0.45306,0.53584,0.4896,0.10981,0.006931,0.006931,0.006931
64,6637.76,0.81592,0.50568,0.1305,0.84428,0.85834,0.86131,0.44664,0.54206,0.49328,0.11197,0.0068815,0.0068815,0.0068815
65,6740.46,0.83127,0.51068,0.13303,0.83528,0.85186,0.85882,0.43487,0.55034,0.51962,0.11333,0.006832,0.006832,0.006832
66,6844.38,0.77204,0.51267,0.12239,0.8432,0.87129,0.87488,0.45944,0.53392,0.49622,0.10938,0.0067825,0.0067825,0.0067825
67,6949.51,0.78843,0.50229,0.12188,0.84785,0.88326,0.88067,0.48849,0.49944,0.47386,0.10471,0.006733,0.006733,0.006733
68,7052.51,0.78463,0.50231,0.12364,0.84803,0.86716,0.86965,0.47184,0.51352,0.48358,0.10729,0.0066835,0.0066835,0.0066835
69,7158.49,0.79177,0.50322,0.12244,0.84547,0.87171,0.87859,0.48575,0.48758,0.48948,0.10333,0.006634,0.006634,0.006634
70,7262.15,0.77036,0.505,0.11707,0.85554,0.88081,0.88364,0.51203,0.46308,0.47443,0.10184,0.0065845,0.0065845,0.0065845
71,7369.75,0.8049,0.49882,0.12281,0.85214,0.88829,0.88327,0.51915,0.45655,0.46787,0.0997,0.006535,0.006535,0.006535
72,7474.85,0.82438,0.48667,0.12497,0.85254,0.87664,0.88424,0.50165,0.47789,0.47672,0.10208,0.0064855,0.0064855,0.0064855
73,7578.04,0.78793,0.50306,0.12204,0.84923,0.88641,0.88027,0.48636,0.49918,0.48581,0.10442,0.006436,0.006436,0.006436
74,7681.12,0.82995,0.49576,0.12667,0.85705,0.88218,0.88182,0.49418,0.48716,0.48597,0.1041,0.0063865,0.0063865,0.0063865
75,7784.94,0.78754,0.49362,0.12064,0.85551,0.87863,0.87768,0.45472,0.53216,0.4913,0.10791,0.006337,0.006337,0.006337
76,7889.27,0.819,0.49755,0.12733,0.85078,0.86594,0.87882,0.5063,0.47782,0.49159,0.10146,0.0062875,0.0062875,0.0062875
77,7993.37,0.83881,0.49792,0.13042,0.85598,0.88687,0.88613,0.52588,0.44802,0.47619,0.09873,0.006238,0.006238,0.006238
78,8099.32,0.89418,0.49843,0.14543,0.85314,0.87001,0.88157,0.50422,0.48554,0.49747,0.10339,0.0061885,0.0061885,0.0061885
79,8203.75,0.78591,0.50158,0.11903,0.85304,0.88598,0.88306,0.50032,0.48172,0.4838,0.10156,0.006139,0.006139,0.006139
80,8307.05,0.79513,0.49323,0.12202,0.84483,0.89286,0.87992,0.46776,0.52579,0.47578,0.10438,0.0060895,0.0060895,0.0060895
81,8413.52,0.76353,0.50403,0.11762,0.85573,0.88822,0.88697,0.49941,0.48446,0.4742,0.10009,0.00604,0.00604,0.00604
82,8516.42,0.75359,0.50325,0.11682,0.84409,0.87877,0.88238,0.49296,0.49339,0.4848,0.10195,0.0059905,0.0059905,0.0059905
83,8622.71,0.74362,0.49897,0.11321,0.83825,0.88284,0.88178,0.50355,0.4819,0.48559,0.10093,0.005941,0.005941,0.005941
84,8727.74,0.73765,0.49493,0.10771,0.85282,0.89044,0.88854,0.51537,0.47098,0.47365,0.09939,0.0058915,0.0058915,0.0058915
85,8831.19,0.78273,0.50258,0.1144,0.85481,0.88476,0.89043,0.53284,0.44702,0.48107,0.09733,0.005842,0.005842,0.005842
86,8935.58,0.75728,0.49483,0.11519,0.84307,0.88073,0.87935,0.4775,0.52428,0.48927,0.10416,0.0057925,0.0057925,0.0057925
87,9037.86,0.74517,0.51258,0.11649,0.8485,0.8799,0.88314,0.49528,0.4905,0.4904,0.10074,0.005743,0.005743,0.005743
88,9142.34,0.73859,0.49044,0.11205,0.8502,0.89428,0.8884,0.51985,0.46925,0.47572,0.09854,0.0056935,0.0056935,0.0056935
89,9246.42,0.76028,0.51487,0.11857,0.85728,0.89291,0.89075,0.53128,0.44537,0.47114,0.09619,0.005644,0.005644,0.005644
90,9358.75,0.77358,0.4846,0.11341,0.86455,0.89555,0.89673,0.53978,0.44109,0.46569,0.09574,0.0055945,0.0055945,0.0055945
91,9462.24,0.79375,0.49011,0.12291,0.85909,0.89445,0.89113,0.51486,0.47778,0.46888,0.09828,0.005545,0.005545,0.005545
92,9565.16,0.73697,0.49718,0.1118,0.85645,0.88681,0.89153,0.53031,0.45604,0.4723,0.09643,0.0054955,0.0054955,0.0054955
93,9667,0.75127,0.50038,0.11294,0.85983,0.89949,0.89819,0.54691,0.43606,0.4613,0.09421,0.005446,0.005446,0.005446
94,9770.33,0.76873,0.49306,0.11871,0.86753,0.89455,0.90062,0.55481,0.4272,0.45601,0.09342,0.0053965,0.0053965,0.0053965
95,9875.29,0.74562,0.49955,0.11161,0.86416,0.89389,0.89645,0.53631,0.4492,0.45974,0.09606,0.005347,0.005347,0.005347
