epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,1972.21,1.5017,1.50662,1.16234,0.76901,0.72019,0.7849,0.4374,1.52098,0.96818,1.18411,0.0072775,0.0072775,0.0072775
57,2007.04,1.50241,1.4894,1.16862,0.77305,0.74068,0.78967,0.44467,1.50896,0.94693,1.17891,0.007228,0.007228,0.007228
58,2041.96,1.50432,1.50223,1.16059,0.7783,0.72515,0.78894,0.44616,1.51291,0.96089,1.18186,0.0071785,0.0071785,0.0071785
59,2076.98,1.49417,1.51394,1.16688,0.78664,0.74468,0.8052,0.45572,1.51107,0.95241,1.17978,0.007129,0.007129,0.007129
60,2111.87,1.47443,1.47844,1.15237,0.80188,0.7332,0.7989,0.4549,1.50537,0.9421,1.17747,0.0070795,0.0070795,0.0070795
61,2146.46,1.45751,1.44226,1.14156,0.80144,0.73416,0.80578,0.45845,1.52199,0.93526,1.18545,0.00703,0.00703,0.00703
62,2181.51,1.49097,1.45983,1.1563,0.79934,0.73232,0.79908,0.45316,1.50148,0.92969,1.17391,0.0069805,0.0069805,0.0069805
63,2216.16,1.46551,1.46542,1.1533,0.77479,0.74656,0.78542,0.44092,1.50788,0.94404,1.17864,0.006931,0.006931,0.006931
64,2250.89,1.44439,1.44497,1.13789,0.77606,0.75893,0.80737,0.45933,1.49566,0.92061,1.17604,0.0068815,0.0068815,0.0068815
65,2285.63,1.46832,1.45418,1.14921,0.77128,0.74447,0.79612,0.45502,1.50247,0.92399,1.1771,0.006832,0.006832,0.006832
66,2320.16,1.44085,1.43353,1.14271,0.79259,0.75271,0.81106,0.45825,1.49802,0.91601,1.17566,0.0067825,0.0067825,0.0067825
67,2354.63,1.44212,1.4144,1.12969,0.79354,0.75677,0.81533,0.46583,1.48668,0.90031,1.1711,0.006733,0.006733,0.006733
68,2389.05,1.47281,1.49635,1.15382,0.79957,0.73644,0.80935,0.46762,1.49402,0.92011,1.17189,0.0066835,0.0066835,0.0066835
69,2423.66,1.43983,1.4281,1.13441,0.78764,0.76415,0.81448,0.46578,1.49525,0.90449,1.17595,0.006634,0.006634,0.006634
70,2458.28,1.42403,1.40996,1.12405,0.77487,0.77147,0.80342,0.46121,1.49807,0.9139,1.17473,0.0065845,0.0065845,0.0065845
71,2493.08,1.41637,1.42974,1.14098,0.80119,0.75746,0.81564,0.46701,1.49423,0.91541,1.17022,0.006535,0.006535,0.006535
72,2527.92,1.40753,1.44098,1.13487,0.79575,0.74996,0.8108,0.46103,1.49702,0.91068,1.17575,0.0064855,0.0064855,0.0064855
73,2562.91,1.44524,1.40233,1.13363,0.80008,0.75641,0.81018,0.4648,1.47829,0.89328,1.16746,0.006436,0.006436,0.006436
74,2597.8,1.43469,1.41109,1.13288,0.80466,0.76343,0.81596,0.46912,1.48507,0.88005,1.1737,0.0063865,0.0063865,0.0063865
75,2632.39,1.42537,1.38881,1.1296,0.79432,0.77093,0.81055,0.46392,1.48481,0.89989,1.17066,0.006337,0.006337,0.006337
76,2667.24,1.45069,1.4134,1.13994,0.79451,0.76802,0.81539,0.46538,1.49209,0.89866,1.1733,0.0062875,0.0062875,0.0062875
77,2702.4,1.43312,1.38285,1.1366,0.79324,0.77552,0.82329,0.4717,1.49037,0.87254,1.17161,0.006238,0.006238,0.006238
78,2736.81,1.42684,1.38896,1.13124,0.8044,0.76693,0.82233,0.4697,1.4841,0.88705,1.17033,0.0061885,0.0061885,0.0061885
79,2771.62,1.42569,1.38015,1.12937,0.79538,0.77393,0.82239,0.47073,1.4805,0.8723,1.16839,0.006139,0.006139,0.006139
80,2806.38,1.4075,1.39845,1.12445,0.81483,0.77412,0.82196,0.47512,1.47147,0.87103,1.16606,0.0060895,0.0060895,0.0060895
81,2841.32,1.42716,1.40721,1.13216,0.79644,0.77501,0.81209,0.46329,1.47399,0.88389,1.16633,0.00604,0.00604,0.00604
82,2876.18,1.42099,1.3903,1.12788,0.79533,0.77527,0.81111,0.46667,1.46909,0.87881,1.16448,0.0059905,0.0059905,0.0059905
83,2911.11,1.41565,1.4257,1.1197,0.79975,0.77787,0.81733,0.47012,1.46685,0.87155,1.15975,0.005941,0.005941,0.005941
84,2945.9,1.4125,1.33463,1.13362,0.80473,0.78368,0.82094,0.47672,1.46691,0.87116,1.1638,0.0058915,0.0058915,0.0058915
85,2980.93,1.39949,1.39495,1.11966,0.81064,0.78183,0.82494,0.47532,1.46448,0.86303,1.16626,0.005842,0.005842,0.005842
86,3015.79,1.37402,1.33662,1.10243,0.80384,0.7778,0.82071,0.47307,1.47293,0.86555,1.16801,0.0057925,0.0057925,0.0057925
87,3050.43,1.39631,1.38299,1.11825,0.81508,0.77199,0.82224,0.47452,1.46899,0.85832,1.16447,0.005743,0.005743,0.005743
88,3084.85,1.3968,1.35245,1.11912,0.80508,0.78753,0.83169,0.48149,1.45936,0.85291,1.1582,0.0056935,0.0056935,0.0056935
89,3119.92,1.38243,1.37547,1.11454,0.80293,0.7827,0.82653,0.47459,1.46949,0.85973,1.16337,0.005644,0.005644,0.005644
90,3154.82,1.3884,1.36489,1.11724,0.7978,0.7861,0.82491,0.47761,1.46807,0.86257,1.16149,0.0055945,0.0055945,0.0055945
91,3189.59,1.36813,1.32121,1.10448,0.80941,0.77997,0.82824,0.48579,1.45534,0.85198,1.15884,0.005545,0.005545,0.005545
92,3225.11,1.39264,1.36253,1.11882,0.80333,0.79547,0.82316,0.47485,1.45736,0.85179,1.15987,0.0054955,0.0054955,0.0054955
