epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,23559.9,1.05159,0.61427,0.98655,0.93405,0.94211,0.96332,0.73183,0.89045,0.47575,0.95592,0.0042085,0.0042085,0.0042085
119,23731.3,1.05094,0.61815,0.98831,0.93606,0.94328,0.96408,0.73303,0.88954,0.47516,0.95587,0.004159,0.004159,0.004159
120,23907.9,1.04249,0.60442,0.98295,0.93523,0.94429,0.9639,0.73239,0.88949,0.47463,0.95595,0.0041095,0.0041095,0.0041095
121,24081.9,1.04498,0.60959,0.98615,0.93335,0.94446,0.96382,0.73252,0.88698,0.47304,0.95534,0.00406,0.00406,0.00406
122,24252.6,1.05033,0.61218,0.98591,0.93468,0.94427,0.96374,0.73307,0.88478,0.47286,0.9549,0.0040105,0.0040105,0.0040105
123,24425.1,1.04389,0.60572,0.98073,0.93444,0.94419,0.96433,0.73458,0.88164,0.4716,0.95423,0.003961,0.003961,0.003961
124,24596,1.04709,0.61511,0.98545,0.93577,0.94239,0.96365,0.73511,0.88009,0.47055,0.95412,0.0039115,0.0039115,0.0039115
125,24766.6,1.04129,0.60552,0.98725,0.9323,0.94614,0.96383,0.73551,0.87757,0.46937,0.95336,0.003862,0.003862,0.003862
126,24937.6,1.03671,0.60392,0.98518,0.92623,0.95148,0.96376,0.73547,0.87829,0.46871,0.9535,0.0038125,0.0038125,0.0038125
127,25109.3,1.02863,0.60158,0.97724,0.92612,0.9531,0.96426,0.73663,0.87759,0.46789,0.95334,0.003763,0.003763,0.003763
128,25280.7,1.0144,0.58846,0.97261,0.92816,0.95184,0.96451,0.73699,0.87603,0.46697,0.95285,0.0037135,0.0037135,0.0037135
129,25452.4,1.02751,0.59972,0.97923,0.93161,0.94669,0.96401,0.73641,0.87666,0.46681,0.95324,0.003664,0.003664,0.003664
130,25621.6,1.01919,0.58957,0.97653,0.93205,0.94824,0.96437,0.7376,0.87484,0.46587,0.95266,0.0036145,0.0036145,0.0036145
