                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.94464,                0.47597,                0.95589,                0.91279,                0.94354,                0.95332,                 0.6994,                0.98689,                0.46036,                0.99843,               0.006568,               0.006568,               0.006568
                     54,                0.93153,                0.47128,                0.95372,                0.91679,                0.93099,                0.95381,                0.69456,                 1.0021,                 0.4613,                 1.0041,               0.006502,               0.006502,               0.006502
                     55,                0.92727,                0.47053,                0.95069,                0.91911,                0.93024,                0.95534,                0.70224,                0.98385,                0.45403,                  1.001,               0.006436,               0.006436,               0.006436
                     56,                0.91881,                0.46527,                0.95082,                0.91126,                0.94205,                0.95419,                0.70197,                0.97803,                0.45478,                0.99638,                0.00637,                0.00637,                0.00637
                     57,                0.92001,                0.46317,                0.95038,                0.91504,                0.93932,                0.95503,                0.70276,                0.97801,                0.44776,                 0.9984,               0.006304,               0.006304,               0.006304
                     58,                0.91829,                0.46223,                0.95006,                0.91224,                0.94293,                0.95342,                0.69955,                0.98321,                0.45293,                 1.0013,               0.006238,               0.006238,               0.006238
                     59,                0.91573,                0.46062,                0.94959,                0.92305,                0.93117,                0.95521,                0.70121,                0.97942,                0.45131,                0.99448,               0.006172,               0.006172,               0.006172
                     60,                0.90791,                0.45729,                 0.9479,                0.91566,                0.93431,                0.95415,                0.69789,                0.98567,                0.45462,                 1.0016,               0.006106,               0.006106,               0.006106
                     61,                 0.8984,                 0.4534,                0.94638,                0.91707,                0.93847,                 0.9559,                0.70681,                0.96969,                0.44675,                0.99396,                0.00604,                0.00604,                0.00604
                     62,                0.90833,                0.45611,                0.94961,                 0.9161,                0.93962,                0.95369,                0.70301,                0.96936,                0.44575,                0.99687,               0.005974,               0.005974,               0.005974
                     63,                0.89174,                0.44853,                0.94159,                0.91987,                0.94223,                0.95582,                0.71254,                0.95105,                0.43546,                0.98739,               0.005908,               0.005908,               0.005908
                     64,                0.87981,                0.44153,                0.93757,                0.92101,                0.93951,                  0.956,                0.70701,                0.97173,                0.44105,                0.99505,               0.005842,               0.005842,               0.005842
                     65,                0.88127,                0.44116,                0.93617,                0.92513,                0.93904,                0.95691,                0.71065,                0.95577,                0.43805,                  0.991,               0.005776,               0.005776,               0.005776
                     66,                0.87773,                0.44778,                0.93232,                 0.9175,                0.94155,                0.95559,                0.70647,                0.96934,                0.44529,                0.99654,                0.00571,                0.00571,                0.00571
                     67,                0.87118,                0.43363,                0.93177,                0.92201,                0.93824,                0.95715,                0.71319,                0.95792,                0.43795,                0.99276,               0.005644,               0.005644,               0.005644
                     68,                0.87005,                 0.4356,                0.93308,                0.92092,                0.93622,                0.95587,                0.71286,                0.95164,                0.43567,                0.99229,               0.005578,               0.005578,               0.005578
                     69,                0.87201,                0.43435,                 0.9347,                0.91941,                0.94449,                0.95733,                0.71642,                0.94629,                0.43326,                0.98852,               0.005512,               0.005512,               0.005512
                     70,                0.85806,                0.42751,                0.93426,                 0.9213,                0.94614,                0.95889,                0.71965,                0.93684,                0.42813,                0.98452,               0.005446,               0.005446,               0.005446
                     71,                0.86026,                0.43246,                0.92946,                0.92161,                0.94004,                0.95618,                0.71828,                0.94061,                0.42946,                0.98683,                0.00538,                0.00538,                0.00538
                     72,                0.85885,                0.42933,                0.93135,                0.92201,                0.94315,                0.95816,                 0.7191,                0.94263,                  0.429,                0.98747,               0.005314,               0.005314,               0.005314
                     73,                0.84397,                0.42323,                0.92281,                0.92428,                0.94203,                0.95784,                0.72116,                0.93009,                0.42321,                0.98231,               0.005248,               0.005248,               0.005248
                     74,                0.84397,                0.42228,                0.92551,                0.92578,                0.94128,                0.95794,                0.72217,                0.93052,                0.42286,                0.98474,               0.005182,               0.005182,               0.005182
                     75,                0.84363,                0.42101,                0.92464,                0.92523,                0.94481,                0.95872,                0.72189,                0.93139,                0.42255,                0.98421,               0.005116,               0.005116,               0.005116
                     76,                0.84091,                0.41731,                  0.925,                0.92974,                0.94021,                0.95815,                0.72043,                0.93633,                0.42045,                0.98513,                0.00505,                0.00505,                0.00505
                     77,                0.83442,                0.41511,                 0.9254,                0.92634,                0.94396,                0.95968,                0.72323,                 0.9319,                0.42152,                 0.9817,               0.004984,               0.004984,               0.004984
                     78,                0.84054,                0.41779,                0.92311,                0.92287,                0.94895,                0.95896,                0.72289,                0.92469,                0.41906,                0.97996,               0.004918,               0.004918,               0.004918
                     79,                0.83033,                0.41317,                0.92224,                0.92927,                0.94004,                0.95913,                0.72271,                 0.9235,                0.41912,                0.98047,               0.004852,               0.004852,               0.004852
                     80,                0.82743,                0.41534,                0.92207,                0.93047,                0.94294,                0.95972,                 0.7272,                0.91585,                0.41535,                0.97878,               0.004786,               0.004786,               0.004786
                     81,                0.82167,                0.40828,                0.91789,                0.92827,                0.94384,                0.96104,                0.72878,                0.91519,                0.41493,                0.97805,                0.00472,                0.00472,                0.00472
                     82,                0.81334,                0.40494,                0.91822,                 0.9279,                0.94406,                 0.9612,                0.72788,                 0.9162,                0.41477,                0.97858,               0.004654,               0.004654,               0.004654
                     83,                0.82361,                0.40392,                0.91785,                0.93249,                0.93987,                0.96129,                0.73098,                0.91177,                0.41351,                0.97788,               0.004588,               0.004588,               0.004588
                     84,                0.80843,                0.40066,                0.91278,                0.93009,                0.94442,                0.96052,                0.73076,                0.91066,                0.41403,                0.97658,               0.004522,               0.004522,               0.004522
                     85,                0.81491,                  0.406,                0.91753,                0.92836,                0.94542,                0.96143,                0.73205,                 0.9075,                0.41337,                0.97623,               0.004456,               0.004456,               0.004456
                     86,                0.80468,                 0.4004,                0.91292,                0.92968,                 0.9455,                0.96174,                0.72912,                0.91478,                 0.4151,                 0.9799,                0.00439,                0.00439,                0.00439
                     87,                 0.7991,                0.39902,                0.90876,                 0.9297,                0.94397,                0.96156,                0.73079,                0.91654,                0.41372,                0.98162,               0.004324,               0.004324,               0.004324
                     88,                 0.7887,                0.39375,                0.90587,                0.93143,                0.94413,                0.96201,                0.73236,                0.91315,                0.41038,                0.97951,               0.004258,               0.004258,               0.004258
                     89,                0.79651,                0.39855,                0.91125,                0.92921,                0.94311,                0.96215,                0.73437,                0.91043,                0.40808,                0.97907,               0.004192,               0.004192,               0.004192
                     90,                0.78776,                0.38924,                0.90891,                0.92561,                0.94669,                0.96204,                0.73368,                0.90834,                0.40774,                 0.9785,               0.004126,               0.004126,               0.004126
                     91,                0.78687,                0.39122,                0.90802,                0.93041,                0.94348,                0.96166,                0.73404,                0.90677,                0.40713,                 0.9782,                0.00406,                0.00406,                0.00406
                     92,                0.78178,                0.39058,                0.90835,                0.92963,                0.94386,                0.96173,                0.73416,                  0.909,                0.40747,                0.97903,               0.003994,               0.003994,               0.003994
                     93,                0.78241,                0.39187,                0.90553,                0.92765,                0.94862,                0.96189,                0.73644,                0.90564,                0.40426,                0.97711,               0.003928,               0.003928,               0.003928
                     94,                0.77628,                0.38673,                0.90514,                0.93093,                 0.9478,                0.96154,                0.73454,                0.90887,                0.40564,                0.97936,               0.003862,               0.003862,               0.003862
                     95,                 0.7764,                 0.3883,                0.90899,                0.92964,                0.94897,                0.96226,                0.73739,                0.90317,                0.40575,                 0.9761,               0.003796,               0.003796,               0.003796
                     96,                 0.7782,                0.38603,                0.90841,                0.92678,                0.94978,                0.96284,                0.73734,                0.90199,                0.40533,                0.97451,                0.00373,                0.00373,                0.00373
                     97,                0.76947,                0.38196,                0.90444,                0.93133,                0.94508,                0.96356,                0.73933,                0.89922,                0.40309,                0.97438,               0.003664,               0.003664,               0.003664
                     98,                0.76697,                0.37965,                0.90414,                0.92741,                0.95046,                0.96394,                0.74196,                0.89441,                0.40181,                0.97337,               0.003598,               0.003598,               0.003598
