                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.3013,                0.74786,                 1.0988,                0.87378,                0.86389,                0.90789,                0.59236,                 1.2255,                0.65967,                 1.0878,               0.003961,               0.003961,               0.003961
                     64,                 1.2837,                0.73752,                 1.0854,                0.87666,                0.85926,                0.90943,                0.59295,                 1.2213,                0.64995,                 1.0863,               0.003862,               0.003862,               0.003862
                     65,                 1.2872,                0.74032,                 1.0934,                0.87328,                0.86782,                0.90984,                0.59461,                 1.2108,                0.65362,                 1.0823,               0.003763,               0.003763,               0.003763
                     66,                 1.2713,                0.72937,                 1.0839,                0.87877,                0.86032,                0.90916,                0.59341,                 1.2121,                0.65429,                 1.0822,               0.003664,               0.003664,               0.003664
                     67,                 1.2852,                0.71738,                 1.0881,                0.87747,                0.86114,                0.90966,                0.59494,                 1.2145,                0.64816,                 1.0828,               0.003565,               0.003565,               0.003565
                     68,                  1.271,                0.72039,                 1.0802,                 0.8798,                0.85956,                0.91001,                0.59549,                 1.2157,                  0.651,                 1.0838,               0.003466,               0.003466,               0.003466
                     69,                 1.2636,                0.71552,                 1.0719,                0.86764,                0.87175,                0.91181,                0.59782,                 1.2099,                0.64811,                 1.0801,               0.003367,               0.003367,               0.003367
                     70,                 1.2741,                0.70616,                 1.0864,                 0.8822,                0.86352,                0.91359,                0.60095,                 1.2018,                0.64418,                 1.0765,               0.003268,               0.003268,               0.003268
                     71,                 1.2493,                0.71203,                 1.0808,                0.88132,                0.86347,                0.91176,                0.60313,                 1.1944,                0.64248,                 1.0743,               0.003169,               0.003169,               0.003169
                     72,                 1.2465,                0.70391,                 1.0699,                0.87866,                 0.8699,                 0.9137,                0.60254,                 1.1984,                0.64449,                 1.0757,                0.00307,                0.00307,                0.00307
                     73,                 1.2413,                0.70637,                 1.0638,                0.87564,                0.87232,                0.91244,                0.60143,                 1.1968,                 0.6419,                 1.0754,               0.002971,               0.002971,               0.002971
                     74,                 1.2621,                 0.7008,                 1.0744,                 0.8811,                0.86837,                0.91611,                0.60514,                 1.1921,                0.63321,                 1.0723,               0.002872,               0.002872,               0.002872
                     75,                 1.2541,                 0.6979,                 1.0741,                0.87916,                0.87271,                0.91682,                0.60535,                 1.1941,                0.63164,                 1.0724,               0.002773,               0.002773,               0.002773
                     76,                 1.2151,                 0.6816,                 1.0686,                0.87783,                0.87954,                0.91671,                0.60893,                  1.183,                0.62718,                 1.0706,               0.002674,               0.002674,               0.002674
                     77,                 1.2383,                 0.6849,                  1.069,                0.87805,                0.87519,                 0.9169,                0.60783,                 1.1832,                0.63019,                 1.0691,               0.002575,               0.002575,               0.002575
                     78,                 1.2339,                 0.6887,                 1.0648,                0.87759,                 0.8801,                0.91702,                0.61158,                 1.1793,                0.62768,                 1.0684,               0.002476,               0.002476,               0.002476
                     79,                  1.224,                0.68302,                 1.0703,                 0.8811,                0.88062,                0.91967,                0.61225,                 1.1781,                0.62257,                 1.0669,               0.002377,               0.002377,               0.002377
                     80,                 1.2174,                0.67349,                  1.058,                0.88557,                0.87727,                0.91933,                0.61291,                 1.1777,                0.61722,                 1.0662,               0.002278,               0.002278,               0.002278
                     81,                 1.2114,                0.69082,                 1.0607,                0.88467,                0.88173,                0.92106,                0.61514,                 1.1701,                0.61538,                 1.0634,               0.002179,               0.002179,               0.002179
                     82,                 1.2156,                0.67099,                 1.0637,                0.88995,                0.87898,                0.92139,                0.61906,                 1.1649,                0.60838,                 1.0618,                0.00208,                0.00208,                0.00208
                     83,                 1.2107,                0.68505,                 1.0604,                0.88533,                0.88039,                0.92122,                0.61575,                 1.1741,                0.61461,                 1.0658,               0.001981,               0.001981,               0.001981
                     84,                 1.2123,                0.66973,                 1.0636,                0.88763,                0.88204,                 0.9221,                0.61812,                 1.1677,                0.61356,                 1.0632,               0.001882,               0.001882,               0.001882
                     85,                 1.1961,                0.66247,                 1.0451,                0.88865,                0.88107,                0.92233,                0.61794,                  1.168,                0.61152,                 1.0635,               0.001783,               0.001783,               0.001783
                     86,                  1.196,                0.66492,                 1.0574,                0.88932,                0.87761,                0.92235,                0.61832,                 1.1658,                0.60829,                 1.0626,               0.001684,               0.001684,               0.001684
                     87,                 1.1982,                0.66278,                  1.053,                0.88555,                0.87981,                0.92125,                0.61627,                 1.1677,                0.61142,                  1.064,               0.001585,               0.001585,               0.001585
                     88,                 1.1863,                0.65302,                 1.0435,                0.88757,                 0.8805,                0.92198,                0.61603,                 1.1711,                0.61092,                 1.0652,               0.001486,               0.001486,               0.001486
                     89,                 1.1934,                0.66313,                 1.0564,                 0.8869,                0.88494,                0.92281,                0.61954,                 1.1605,                0.60826,                 1.0613,               0.001387,               0.001387,               0.001387
                     90,                 1.1712,                0.64809,                 1.0465,                0.89184,                0.87932,                0.92211,                0.61867,                 1.1642,                 0.6109,                 1.0625,               0.001288,               0.001288,               0.001288
                     91,                 1.1152,                0.60335,                 1.0251,                0.88282,                0.88752,                  0.923,                0.62058,                   1.16,                0.60748,                 1.0609,               0.001189,               0.001189,               0.001189
                     92,                 1.0899,                0.59423,                 1.0291,                0.88888,                0.88641,                 0.9237,                0.62136,                 1.1605,                 0.6031,                 1.0608,                0.00109,                0.00109,                0.00109
                     93,                 1.0974,                0.58714,                 1.0345,                0.88925,                0.88608,                0.92282,                0.62201,                 1.1613,                 0.5988,                 1.0612,               0.000991,               0.000991,               0.000991
                     94,                 1.0746,                0.57391,                 1.0246,                0.88979,                0.88621,                0.92324,                0.62219,                 1.1599,                0.59749,                  1.061,               0.000892,               0.000892,               0.000892
                     95,                 1.0633,                 0.5857,                 1.0142,                0.88881,                0.88567,                0.92321,                0.62314,                 1.1606,                0.59625,                 1.0616,               0.000793,               0.000793,               0.000793
                     96,                 1.0659,                0.55883,                 1.0192,                0.89117,                0.88476,                0.92355,                0.62359,                 1.1584,                0.59316,                 1.0606,               0.000694,               0.000694,               0.000694
                     97,                 1.0568,                0.56591,                 1.0226,                0.89179,                 0.8876,                0.92409,                0.62551,                 1.1535,                0.59027,                 1.0587,               0.000595,               0.000595,               0.000595
                     98,                 1.0531,                 0.5547,                 1.0114,                0.89338,                0.88596,                0.92356,                0.62551,                 1.1521,                0.58768,                 1.0584,               0.000496,               0.000496,               0.000496
                     99,                  1.061,                0.55452,                 1.0216,                0.89287,                0.88813,                0.92446,                0.62536,                 1.1515,                0.58646,                 1.0583,               0.000397,               0.000397,               0.000397
                    100,                 1.0395,                0.55293,                 1.0099,                0.89376,                0.88685,                0.92499,                0.62577,                 1.1522,                 0.5856,                 1.0588,               0.000298,               0.000298,               0.000298
